Agency,variable,value,binary
Congressional Office of Compliance,Live,0,Yes
Congressional Office of Compliance,Redirect,1,Yes
Congressional Office of Compliance,Strictly Forces HTTPS,1,Yes
Congressional Office of Compliance,Valid HTTPS,1,Yes
Consumer Financial Protection Bureau,Broken Root,9,Yes
Consumer Financial Protection Bureau,Broken WWW,10,Yes
Consumer Financial Protection Bureau,Defaults to HTTPS,10,Yes
Consumer Financial Protection Bureau,Downgrades HTTPS,10,Yes
Consumer Financial Protection Bureau,HSTS,10,Yes
Consumer Financial Protection Bureau,HSTS All Subdomains,10,Yes
Consumer Financial Protection Bureau,HSTS Preload Ready,10,Yes
Consumer Financial Protection Bureau,HTTPS Bad Chain,0,Yes
Consumer Financial Protection Bureau,HTTPS Bad Hostname,10,Yes
Consumer Financial Protection Bureau,Live,0,Yes
Consumer Financial Protection Bureau,Redirect,1,Yes
Consumer Financial Protection Bureau,Strictly Forces HTTPS,10,Yes
Consumer Financial Protection Bureau,Valid HTTPS,10,Yes
Consumer Product Safety Commission,Broken Root,9,Yes
Consumer Product Safety Commission,Broken WWW,9,Yes
Consumer Product Safety Commission,Defaults to HTTPS,9,Yes
Consumer Product Safety Commission,Downgrades HTTPS,8,Yes
Consumer Product Safety Commission,HSTS,9,Yes
Consumer Product Safety Commission,HSTS All Subdomains,9,Yes
Consumer Product Safety Commission,HSTS Preload Ready,9,Yes
Consumer Product Safety Commission,HTTPS Bad Chain,1,Yes
Consumer Product Safety Commission,HTTPS Bad Hostname,9,Yes
Consumer Product Safety Commission,Live,0,Yes
Consumer Product Safety Commission,Redirect,8,Yes
Consumer Product Safety Commission,Strictly Forces HTTPS,9,Yes
Consumer Product Safety Commission,Valid HTTPS,8,Yes
Corporation for National & Community Service,Broken Root,21,Yes
Corporation for National & Community Service,Broken WWW,22,Yes
Corporation for National & Community Service,Defaults to HTTPS,23,Yes
Corporation for National & Community Service,Downgrades HTTPS,23,Yes
Corporation for National & Community Service,HSTS,24,Yes
Corporation for National & Community Service,HSTS All Subdomains,24,Yes
Corporation for National & Community Service,HSTS Preload Ready,24,Yes
Corporation for National & Community Service,HTTPS Bad Chain,21,Yes
Corporation for National & Community Service,HTTPS Bad Hostname,24,Yes
Corporation for National & Community Service,Live,2,Yes
Corporation for National & Community Service,Redirect,10,Yes
Corporation for National & Community Service,Strictly Forces HTTPS,23,Yes
Corporation for National & Community Service,Valid HTTPS,22,Yes
Council of Inspector General on Integrity and Efficiency,Broken Root,1,Yes
Council of Inspector General on Integrity and Efficiency,Broken WWW,2,Yes
Council of Inspector General on Integrity and Efficiency,Defaults to HTTPS,1,Yes
Council of Inspector General on Integrity and Efficiency,Downgrades HTTPS,2,Yes
Council of Inspector General on Integrity and Efficiency,HSTS,2,Yes
Council of Inspector General on Integrity and Efficiency,HSTS All Subdomains,2,Yes
Council of Inspector General on Integrity and Efficiency,HSTS Preload Ready,2,Yes
Council of Inspector General on Integrity and Efficiency,HTTPS Bad Chain,2,Yes
Council of Inspector General on Integrity and Efficiency,HTTPS Bad Hostname,2,Yes
Council of Inspector General on Integrity and Efficiency,Live,0,Yes
Council of Inspector General on Integrity and Efficiency,Redirect,2,Yes
Council of Inspector General on Integrity and Efficiency,Strictly Forces HTTPS,1,Yes
Council of Inspector General on Integrity and Efficiency,Valid HTTPS,1,Yes
Court Services and Offender Supervision,Broken Root,4,Yes
Court Services and Offender Supervision,Broken WWW,5,Yes
Court Services and Offender Supervision,Defaults to HTTPS,5,Yes
Court Services and Offender Supervision,Downgrades HTTPS,5,Yes
Court Services and Offender Supervision,HSTS,5,Yes
Court Services and Offender Supervision,HSTS All Subdomains,5,Yes
Court Services and Offender Supervision,HSTS Preload Ready,5,Yes
Court Services and Offender Supervision,HTTPS Bad Chain,5,Yes
Court Services and Offender Supervision,HTTPS Bad Hostname,5,Yes
Court Services and Offender Supervision,Live,0,Yes
Court Services and Offender Supervision,Redirect,5,Yes
Court Services and Offender Supervision,Strictly Forces HTTPS,5,Yes
Court Services and Offender Supervision,Valid HTTPS,5,Yes
Defense Nuclear Facilities Safety Board,Broken Root,0,Yes
Defense Nuclear Facilities Safety Board,Broken WWW,1,Yes
Defense Nuclear Facilities Safety Board,Defaults to HTTPS,1,Yes
Defense Nuclear Facilities Safety Board,Downgrades HTTPS,1,Yes
Defense Nuclear Facilities Safety Board,HSTS,1,Yes
Defense Nuclear Facilities Safety Board,HSTS All Subdomains,1,Yes
Defense Nuclear Facilities Safety Board,HSTS Preload Ready,1,Yes
Defense Nuclear Facilities Safety Board,HTTPS Bad Chain,0,Yes
Defense Nuclear Facilities Safety Board,HTTPS Bad Hostname,1,Yes
Defense Nuclear Facilities Safety Board,Live,0,Yes
Defense Nuclear Facilities Safety Board,Redirect,1,Yes
Defense Nuclear Facilities Safety Board,Strictly Forces HTTPS,1,Yes
Defense Nuclear Facilities Safety Board,Valid HTTPS,1,Yes
Delta Regional Authority,Broken Root,1,Yes
Delta Regional Authority,Broken WWW,1,Yes
Delta Regional Authority,Defaults to HTTPS,1,Yes
Delta Regional Authority,Downgrades HTTPS,1,Yes
Delta Regional Authority,HSTS,1,Yes
Delta Regional Authority,HSTS All Subdomains,1,Yes
Delta Regional Authority,HSTS Preload Ready,1,Yes
Delta Regional Authority,HTTPS Bad Chain,1,Yes
Delta Regional Authority,HTTPS Bad Hostname,1,Yes
Delta Regional Authority,Live,0,Yes
Delta Regional Authority,Redirect,1,Yes
Delta Regional Authority,Strictly Forces HTTPS,1,Yes
Delta Regional Authority,Valid HTTPS,1,Yes
Denali Commission,Broken Root,1,Yes
Denali Commission,Broken WWW,1,Yes
Denali Commission,Defaults to HTTPS,1,Yes
Denali Commission,Downgrades HTTPS,1,Yes
Denali Commission,HSTS,1,Yes
Denali Commission,HSTS All Subdomains,1,Yes
Denali Commission,HSTS Preload Ready,1,Yes
Denali Commission,HTTPS Bad Chain,0,Yes
Denali Commission,HTTPS Bad Hostname,1,Yes
Denali Commission,Live,0,Yes
Denali Commission,Redirect,1,Yes
Denali Commission,Strictly Forces HTTPS,1,Yes
Denali Commission,Valid HTTPS,1,Yes
Department of Agriculture,Broken Root,37,Yes
Department of Agriculture,Broken WWW,51,Yes
Department of Agriculture,Defaults to HTTPS,45,Yes
Department of Agriculture,Downgrades HTTPS,46,Yes
Department of Agriculture,HSTS,52,Yes
Department of Agriculture,HSTS All Subdomains,52,Yes
Department of Agriculture,HSTS Preload Ready,52,Yes
Department of Agriculture,HTTPS Bad Chain,28,Yes
Department of Agriculture,HTTPS Bad Hostname,52,Yes
Department of Agriculture,Live,0,Yes
Department of Agriculture,Redirect,42,Yes
Department of Agriculture,Strictly Forces HTTPS,45,Yes
Department of Agriculture,Valid HTTPS,42,Yes
Department of Commerce,Broken Root,47,Yes
Department of Commerce,Broken WWW,54,Yes
Department of Commerce,Defaults to HTTPS,54,Yes
Department of Commerce,Downgrades HTTPS,52,Yes
Department of Commerce,HSTS,55,Yes
Department of Commerce,HSTS All Subdomains,55,Yes
Department of Commerce,HSTS Preload Ready,55,Yes
Department of Commerce,HTTPS Bad Chain,42,Yes
Department of Commerce,HTTPS Bad Hostname,55,Yes
Department of Commerce,Live,1,Yes
Department of Commerce,Redirect,44,Yes
Department of Commerce,Strictly Forces HTTPS,55,Yes
Department of Commerce,Valid HTTPS,47,Yes
Department of Defense,Broken Root,13,Yes
Department of Defense,Broken WWW,28,Yes
Department of Defense,Defaults to HTTPS,27,Yes
Department of Defense,Downgrades HTTPS,29,Yes
Department of Defense,HSTS,31,Yes
Department of Defense,HSTS All Subdomains,32,Yes
Department of Defense,HSTS Preload Ready,32,Yes
Department of Defense,HTTPS Bad Chain,27,Yes
Department of Defense,HTTPS Bad Hostname,32,Yes
Department of Defense,Live,4,Yes
Department of Defense,Redirect,31,Yes
Department of Defense,Strictly Forces HTTPS,25,Yes
Department of Defense,Valid HTTPS,24,Yes
Department of Education,Broken Root,15,Yes
Department of Education,Broken WWW,16,Yes
Department of Education,Defaults to HTTPS,13,Yes
Department of Education,Downgrades HTTPS,15,Yes
Department of Education,HSTS,15,Yes
Department of Education,HSTS All Subdomains,15,Yes
Department of Education,HSTS Preload Ready,15,Yes
Department of Education,HTTPS Bad Chain,13,Yes
Department of Education,HTTPS Bad Hostname,16,Yes
Department of Education,Live,0,Yes
Department of Education,Redirect,10,Yes
Department of Education,Strictly Forces HTTPS,13,Yes
Department of Education,Valid HTTPS,10,Yes
Department of Energy,Broken Root,47,Yes
Department of Energy,Broken WWW,61,Yes
Department of Energy,Defaults to HTTPS,59,Yes
Department of Energy,Downgrades HTTPS,61,Yes
Department of Energy,HSTS,66,Yes
Department of Energy,HSTS All Subdomains,66,Yes
Department of Energy,HSTS Preload Ready,66,Yes
Department of Energy,HTTPS Bad Chain,50,Yes
Department of Energy,HTTPS Bad Hostname,66,Yes
Department of Energy,Live,5,Yes
Department of Energy,Redirect,55,Yes
Department of Energy,Strictly Forces HTTPS,58,Yes
Department of Energy,Valid HTTPS,42,Yes
Department of Health And Human Services,Broken Root,103,Yes
Department of Health And Human Services,Broken WWW,115,Yes
Department of Health And Human Services,Defaults to HTTPS,105,Yes
Department of Health And Human Services,Downgrades HTTPS,115,Yes
Department of Health And Human Services,HSTS,113,Yes
Department of Health And Human Services,HSTS All Subdomains,115,Yes
Department of Health And Human Services,HSTS Preload Ready,115,Yes
Department of Health And Human Services,HTTPS Bad Chain,67,Yes
