Agency,variable,value,binary
National Gallery of Art,Broken WWW,0,Yes
National Gallery of Art,Defaults to HTTPS,1,Yes
National Gallery of Art,Downgrades HTTPS,1,Yes
National Gallery of Art,HSTS,1,Yes
National Gallery of Art,HSTS All Subdomains,1,Yes
National Gallery of Art,HSTS Preload Ready,1,Yes
National Gallery of Art,HTTPS Bad Chain,1,Yes
National Gallery of Art,HTTPS Bad Hostname,1,Yes
National Gallery of Art,Live,1,Yes
National Gallery of Art,Redirect,1,Yes
National Gallery of Art,Strictly Forces HTTPS,1,Yes
National Gallery of Art,Valid HTTPS,1,Yes
National Indian Gaming Commission,Broken Root,0,Yes
National Indian Gaming Commission,Broken WWW,0,Yes
National Indian Gaming Commission,Defaults to HTTPS,1,Yes
National Indian Gaming Commission,Downgrades HTTPS,1,Yes
National Indian Gaming Commission,HSTS,1,Yes
National Indian Gaming Commission,HSTS All Subdomains,1,Yes
National Indian Gaming Commission,HSTS Preload Ready,1,Yes
National Indian Gaming Commission,HTTPS Bad Chain,1,Yes
National Indian Gaming Commission,HTTPS Bad Hostname,1,Yes
National Indian Gaming Commission,Live,1,Yes
National Indian Gaming Commission,Redirect,1,Yes
National Indian Gaming Commission,Strictly Forces HTTPS,1,Yes
National Indian Gaming Commission,Valid HTTPS,1,Yes
National Labor Relations Board,Broken Root,0,Yes
National Labor Relations Board,Broken WWW,0,Yes
National Labor Relations Board,Defaults to HTTPS,1,Yes
National Labor Relations Board,Downgrades HTTPS,1,Yes
National Labor Relations Board,HSTS,1,Yes
National Labor Relations Board,HSTS All Subdomains,1,Yes
National Labor Relations Board,HSTS Preload Ready,1,Yes
National Labor Relations Board,HTTPS Bad Chain,1,Yes
National Labor Relations Board,HTTPS Bad Hostname,1,Yes
National Labor Relations Board,Live,1,Yes
National Labor Relations Board,Redirect,1,Yes
National Labor Relations Board,Strictly Forces HTTPS,1,Yes
National Labor Relations Board,Valid HTTPS,1,Yes
National Mediation Board,Broken Root,0,Yes
National Mediation Board,Broken WWW,0,Yes
National Mediation Board,Defaults to HTTPS,1,Yes
National Mediation Board,Downgrades HTTPS,1,Yes
National Mediation Board,HSTS,1,Yes
National Mediation Board,HSTS All Subdomains,1,Yes
National Mediation Board,HSTS Preload Ready,1,Yes
National Mediation Board,HTTPS Bad Chain,1,Yes
National Mediation Board,HTTPS Bad Hostname,1,Yes
National Mediation Board,Live,1,Yes
National Mediation Board,Redirect,1,Yes
National Mediation Board,Strictly Forces HTTPS,1,Yes
National Mediation Board,Valid HTTPS,1,Yes
National Nanotechnology Coordination Office,Broken Root,0,Yes
National Nanotechnology Coordination Office,Broken WWW,0,Yes
National Nanotechnology Coordination Office,Defaults to HTTPS,1,Yes
National Nanotechnology Coordination Office,Downgrades HTTPS,1,Yes
National Nanotechnology Coordination Office,HSTS,1,Yes
National Nanotechnology Coordination Office,HSTS All Subdomains,1,Yes
National Nanotechnology Coordination Office,HSTS Preload Ready,1,Yes
National Nanotechnology Coordination Office,HTTPS Bad Chain,1,Yes
National Nanotechnology Coordination Office,HTTPS Bad Hostname,1,Yes
National Nanotechnology Coordination Office,Live,1,Yes
National Nanotechnology Coordination Office,Redirect,1,Yes
National Nanotechnology Coordination Office,Strictly Forces HTTPS,1,Yes
National Nanotechnology Coordination Office,Valid HTTPS,1,Yes
National Science Foundation,Broken Root,0,Yes
National Science Foundation,Broken WWW,0,Yes
National Science Foundation,Defaults to HTTPS,8,Yes
National Science Foundation,Downgrades HTTPS,8,Yes
National Science Foundation,HSTS,8,Yes
National Science Foundation,HSTS All Subdomains,8,Yes
National Science Foundation,HSTS Preload Ready,8,Yes
National Science Foundation,HTTPS Bad Chain,8,Yes
National Science Foundation,HTTPS Bad Hostname,8,Yes
National Science Foundation,Live,8,Yes
National Science Foundation,Redirect,8,Yes
National Science Foundation,Strictly Forces HTTPS,8,Yes
National Science Foundation,Valid HTTPS,8,Yes
National Security Agency,Broken Root,0,Yes
National Security Agency,Broken WWW,0,Yes
National Security Agency,Defaults to HTTPS,1,Yes
National Security Agency,Downgrades HTTPS,1,Yes
National Security Agency,HSTS,1,Yes
National Security Agency,HSTS All Subdomains,1,Yes
National Security Agency,HSTS Preload Ready,1,Yes
National Security Agency,HTTPS Bad Chain,1,Yes
National Security Agency,HTTPS Bad Hostname,1,Yes
National Security Agency,Live,1,Yes
National Security Agency,Redirect,1,Yes
National Security Agency,Strictly Forces HTTPS,1,Yes
National Security Agency,Valid HTTPS,1,Yes
National Transportation Safety Board,Broken Root,0,Yes
National Transportation Safety Board,Broken WWW,0,Yes
National Transportation Safety Board,Defaults to HTTPS,1,Yes
National Transportation Safety Board,Downgrades HTTPS,1,Yes
National Transportation Safety Board,HSTS,1,Yes
National Transportation Safety Board,HSTS All Subdomains,1,Yes
National Transportation Safety Board,HSTS Preload Ready,1,Yes
National Transportation Safety Board,HTTPS Bad Chain,1,Yes
National Transportation Safety Board,HTTPS Bad Hostname,1,Yes
National Transportation Safety Board,Live,1,Yes
National Transportation Safety Board,Redirect,1,Yes
National Transportation Safety Board,Strictly Forces HTTPS,1,Yes
National Transportation Safety Board,Valid HTTPS,1,Yes
Networking Information Technology Research and Development (NITRD),Broken Root,0,Yes
Networking Information Technology Research and Development (NITRD),Broken WWW,0,Yes
Networking Information Technology Research and Development (NITRD),Defaults to HTTPS,2,Yes
Networking Information Technology Research and Development (NITRD),Downgrades HTTPS,2,Yes
Networking Information Technology Research and Development (NITRD),HSTS,2,Yes
Networking Information Technology Research and Development (NITRD),HSTS All Subdomains,2,Yes
Networking Information Technology Research and Development (NITRD),HSTS Preload Ready,2,Yes
Networking Information Technology Research and Development (NITRD),HTTPS Bad Chain,2,Yes
Networking Information Technology Research and Development (NITRD),HTTPS Bad Hostname,2,Yes
Networking Information Technology Research and Development (NITRD),Live,2,Yes
Networking Information Technology Research and Development (NITRD),Redirect,2,Yes
Networking Information Technology Research and Development (NITRD),Strictly Forces HTTPS,2,Yes
Networking Information Technology Research and Development (NITRD),Valid HTTPS,2,Yes
Nuclear Regulatory Commission,Broken Root,0,Yes
Nuclear Regulatory Commission,Broken WWW,0,Yes
Nuclear Regulatory Commission,Defaults to HTTPS,2,Yes
Nuclear Regulatory Commission,Downgrades HTTPS,2,Yes
Nuclear Regulatory Commission,HSTS,2,Yes
Nuclear Regulatory Commission,HSTS All Subdomains,2,Yes
Nuclear Regulatory Commission,HSTS Preload Ready,2,Yes
Nuclear Regulatory Commission,HTTPS Bad Chain,2,Yes
Nuclear Regulatory Commission,HTTPS Bad Hostname,2,Yes
Nuclear Regulatory Commission,Live,2,Yes
Nuclear Regulatory Commission,Redirect,2,Yes
Nuclear Regulatory Commission,Strictly Forces HTTPS,2,Yes
Nuclear Regulatory Commission,Valid HTTPS,2,Yes
Occupational Safety & Health Review Commission,Broken Root,0,Yes
Occupational Safety & Health Review Commission,Broken WWW,0,Yes
Occupational Safety & Health Review Commission,Defaults to HTTPS,1,Yes
Occupational Safety & Health Review Commission,Downgrades HTTPS,1,Yes
Occupational Safety & Health Review Commission,HSTS,1,Yes
Occupational Safety & Health Review Commission,HSTS All Subdomains,1,Yes
Occupational Safety & Health Review Commission,HSTS Preload Ready,1,Yes
Occupational Safety & Health Review Commission,HTTPS Bad Chain,1,Yes
Occupational Safety & Health Review Commission,HTTPS Bad Hostname,1,Yes
Occupational Safety & Health Review Commission,Live,1,Yes
Occupational Safety & Health Review Commission,Redirect,1,Yes
Occupational Safety & Health Review Commission,Strictly Forces HTTPS,1,Yes
Occupational Safety & Health Review Commission,Valid HTTPS,1,Yes
Office of Government Ethics,Broken Root,0,Yes
Office of Government Ethics,Broken WWW,0,Yes
Office of Government Ethics,Defaults to HTTPS,1,Yes
Office of Government Ethics,Downgrades HTTPS,1,Yes
Office of Government Ethics,HSTS,1,Yes
Office of Government Ethics,HSTS All Subdomains,1,Yes
Office of Government Ethics,HSTS Preload Ready,1,Yes
Office of Government Ethics,HTTPS Bad Chain,1,Yes
Office of Government Ethics,HTTPS Bad Hostname,1,Yes
Office of Government Ethics,Live,1,Yes
Office of Government Ethics,Redirect,1,Yes
Office of Government Ethics,Strictly Forces HTTPS,1,Yes
Office of Government Ethics,Valid HTTPS,1,Yes
Office of Personnel Management,Broken Root,0,Yes
Office of Personnel Management,Broken WWW,0,Yes
Office of Personnel Management,Defaults to HTTPS,22,Yes
Office of Personnel Management,Downgrades HTTPS,22,Yes
Office of Personnel Management,HSTS,22,Yes
Office of Personnel Management,HSTS All Subdomains,22,Yes
Office of Personnel Management,HSTS Preload Ready,22,Yes
Office of Personnel Management,HTTPS Bad Chain,22,Yes
Office of Personnel Management,HTTPS Bad Hostname,22,Yes
Office of Personnel Management,Live,22,Yes
Office of Personnel Management,Redirect,22,Yes
Office of Personnel Management,Strictly Forces HTTPS,22,Yes
Office of Personnel Management,Valid HTTPS,22,Yes
Overseas Private Investment Corporation,Broken Root,0,Yes
Overseas Private Investment Corporation,Broken WWW,0,Yes
Overseas Private Investment Corporation,Defaults to HTTPS,1,Yes
Overseas Private Investment Corporation,Downgrades HTTPS,1,Yes
Overseas Private Investment Corporation,HSTS,1,Yes
Overseas Private Investment Corporation,HSTS All Subdomains,1,Yes
Overseas Private Investment Corporation,HSTS Preload Ready,1,Yes
Overseas Private Investment Corporation,HTTPS Bad Chain,1,Yes
Overseas Private Investment Corporation,HTTPS Bad Hostname,1,Yes
Overseas Private Investment Corporation,Live,1,Yes
Overseas Private Investment Corporation,Redirect,1,Yes
Overseas Private Investment Corporation,Strictly Forces HTTPS,1,Yes
Overseas Private Investment Corporation,Valid HTTPS,1,Yes
Pension Benefit Guaranty Corporation,Broken Root,0,Yes
Pension Benefit Guaranty Corporation,Broken WWW,0,Yes
Pension Benefit Guaranty Corporation,Defaults to HTTPS,1,Yes
Pension Benefit Guaranty Corporation,Downgrades HTTPS,1,Yes
Pension Benefit Guaranty Corporation,HSTS,1,Yes
Pension Benefit Guaranty Corporation,HSTS All Subdomains,1,Yes
Pension Benefit Guaranty Corporation,HSTS Preload Ready,1,Yes
Pension Benefit Guaranty Corporation,HTTPS Bad Chain,1,Yes
Pension Benefit Guaranty Corporation,HTTPS Bad Hostname,1,Yes
Pension Benefit Guaranty Corporation,Live,1,Yes
Pension Benefit Guaranty Corporation,Redirect,1,Yes
Pension Benefit Guaranty Corporation,Strictly Forces HTTPS,1,Yes
Pension Benefit Guaranty Corporation,Valid HTTPS,1,Yes
Postal Rate Commission,Broken Root,0,Yes
Postal Rate Commission,Broken WWW,0,Yes
Postal Rate Commission,Defaults to HTTPS,1,Yes
Postal Rate Commission,Downgrades HTTPS,1,Yes
Postal Rate Commission,HSTS,1,Yes
Postal Rate Commission,HSTS All Subdomains,1,Yes
Postal Rate Commission,HSTS Preload Ready,1,Yes
Postal Rate Commission,HTTPS Bad Chain,1,Yes
Postal Rate Commission,HTTPS Bad Hostname,1,Yes
Postal Rate Commission,Live,1,Yes
Postal Rate Commission,Redirect,1,Yes
Postal Rate Commission,Strictly Forces HTTPS,1,Yes
Postal Rate Commission,Valid HTTPS,1,Yes
Railroad Retirement Board,Broken Root,0,Yes
Railroad Retirement Board,Broken WWW,0,Yes
Railroad Retirement Board,Defaults to HTTPS,1,Yes
Railroad Retirement Board,Downgrades HTTPS,1,Yes
Railroad Retirement Board,HSTS,1,Yes
Railroad Retirement Board,HSTS All Subdomains,1,Yes
Railroad Retirement Board,HSTS Preload Ready,1,Yes
Railroad Retirement Board,HTTPS Bad Chain,1,Yes
Railroad Retirement Board,HTTPS Bad Hostname,1,Yes
Railroad Retirement Board,Live,1,Yes
Railroad Retirement Board,Redirect,1,Yes
Railroad Retirement Board,Strictly Forces HTTPS,1,Yes
Railroad Retirement Board,Valid HTTPS,1,Yes
Recovery Accountability and Transparency Board,Broken Root,0,Yes
Recovery Accountability and Transparency Board,Broken WWW,0,Yes
Recovery Accountability and Transparency Board,Defaults to HTTPS,6,Yes
Recovery Accountability and Transparency Board,Downgrades HTTPS,6,Yes
Recovery Accountability and Transparency Board,HSTS,6,Yes
Recovery Accountability and Transparency Board,HSTS All Subdomains,6,Yes
Recovery Accountability and Transparency Board,HSTS Preload Ready,6,Yes
Recovery Accountability and Transparency Board,HTTPS Bad Chain,6,Yes
Recovery Accountability and Transparency Board,HTTPS Bad Hostname,6,Yes
Recovery Accountability and Transparency Board,Live,6,Yes
Recovery Accountability and Transparency Board,Redirect,6,Yes
Recovery Accountability and Transparency Board,Strictly Forces HTTPS,6,Yes
Recovery Accountability and Transparency Board,Valid HTTPS,6,Yes
Securities and Exchange Commission,Broken Root,0,Yes
Securities and Exchange Commission,Broken WWW,0,Yes
Securities and Exchange Commission,Defaults to HTTPS,3,Yes
Securities and Exchange Commission,Downgrades HTTPS,3,Yes
Securities and Exchange Commission,HSTS,3,Yes
Securities and Exchange Commission,HSTS All Subdomains,3,Yes
Securities and Exchange Commission,HSTS Preload Ready,3,Yes
Securities and Exchange Commission,HTTPS Bad Chain,3,Yes
Securities and Exchange Commission,HTTPS Bad Hostname,3,Yes
Securities and Exchange Commission,Live,3,Yes
Securities and Exchange Commission,Redirect,3,Yes
Securities and Exchange Commission,Strictly Forces HTTPS,3,Yes
Securities and Exchange Commission,Valid HTTPS,3,Yes
Selective Service System,Broken Root,0,Yes
Selective Service System,Broken WWW,0,Yes
Selective Service System,Defaults to HTTPS,1,Yes
Selective Service System,Downgrades HTTPS,1,Yes
Selective Service System,HSTS,1,Yes
Selective Service System,HSTS All Subdomains,1,Yes
Selective Service System,HSTS Preload Ready,1,Yes
Selective Service System,HTTPS Bad Chain,1,Yes
Selective Service System,HTTPS Bad Hostname,1,Yes
Selective Service System,Live,1,Yes
Selective Service System,Redirect,1,Yes
Selective Service System,Strictly Forces HTTPS,1,Yes
Selective Service System,Valid HTTPS,1,Yes
Small Business Administration,Broken Root,0,Yes
Small Business Administration,Broken WWW,0,Yes
Small Business Administration,Defaults to HTTPS,8,Yes
Small Business Administration,Downgrades HTTPS,8,Yes
Small Business Administration,HSTS,8,Yes
Small Business Administration,HSTS All Subdomains,8,Yes
Small Business Administration,HSTS Preload Ready,8,Yes
Small Business Administration,HTTPS Bad Chain,8,Yes
Small Business Administration,HTTPS Bad Hostname,8,Yes
Small Business Administration,Live,8,Yes
Small Business Administration,Redirect,8,Yes
Small Business Administration,Strictly Forces HTTPS,8,Yes
Small Business Administration,Valid HTTPS,8,Yes
Smithsonian Institution,Broken Root,0,Yes
Smithsonian Institution,Broken WWW,0,Yes
Smithsonian Institution,Defaults to HTTPS,1,Yes
Smithsonian Institution,Downgrades HTTPS,1,Yes
Smithsonian Institution,HSTS,1,Yes
Smithsonian Institution,HSTS All Subdomains,1,Yes
Smithsonian Institution,HSTS Preload Ready,1,Yes
Smithsonian Institution,HTTPS Bad Chain,1,Yes
Smithsonian Institution,HTTPS Bad Hostname,1,Yes
Smithsonian Institution,Live,1,Yes
Smithsonian Institution,Redirect,1,Yes
Smithsonian Institution,Strictly Forces HTTPS,1,Yes
Smithsonian Institution,Valid HTTPS,1,Yes
Social Security Administration,Broken Root,0,Yes
Social Security Administration,Broken WWW,0,Yes
Social Security Administration,Defaults to HTTPS,3,Yes
Social Security Administration,Downgrades HTTPS,3,Yes
Social Security Administration,HSTS,3,Yes
Social Security Administration,HSTS All Subdomains,3,Yes
Social Security Administration,HSTS Preload Ready,3,Yes
Social Security Administration,HTTPS Bad Chain,3,Yes
Social Security Administration,HTTPS Bad Hostname,3,Yes
Social Security Administration,Live,3,Yes
Social Security Administration,Redirect,3,Yes
Social Security Administration,Strictly Forces HTTPS,3,Yes
Social Security Administration,Valid HTTPS,3,Yes
Social Security Advisory Board,Broken Root,0,Yes
Social Security Advisory Board,Broken WWW,0,Yes
Social Security Advisory Board,Defaults to HTTPS,2,Yes
Social Security Advisory Board,Downgrades HTTPS,2,Yes
Social Security Advisory Board,HSTS,2,Yes
Social Security Advisory Board,HSTS All Subdomains,2,Yes
Social Security Advisory Board,HSTS Preload Ready,2,Yes
Social Security Advisory Board,HTTPS Bad Chain,2,Yes
Social Security Advisory Board,HTTPS Bad Hostname,2,Yes
Social Security Advisory Board,Live,2,Yes
Social Security Advisory Board,Redirect,2,Yes
Social Security Advisory Board,Strictly Forces HTTPS,2,Yes
Social Security Advisory Board,Valid HTTPS,2,Yes
Stennis Center for Public Service,Broken Root,0,Yes
Stennis Center for Public Service,Broken WWW,0,Yes
Stennis Center for Public Service,Defaults to HTTPS,1,Yes
Stennis Center for Public Service,Downgrades HTTPS,1,Yes
Stennis Center for Public Service,HSTS,1,Yes
Stennis Center for Public Service,HSTS All Subdomains,1,Yes
Stennis Center for Public Service,HSTS Preload Ready,1,Yes
Stennis Center for Public Service,HTTPS Bad Chain,1,Yes
Stennis Center for Public Service,HTTPS Bad Hostname,1,Yes
Stennis Center for Public Service,Live,1,Yes
Stennis Center for Public Service,Redirect,1,Yes
Stennis Center for Public Service,Strictly Forces HTTPS,1,Yes
Stennis Center for Public Service,Valid HTTPS,1,Yes
Tennessee Valley Authority,Broken Root,0,Yes
Tennessee Valley Authority,Broken WWW,0,Yes
Tennessee Valley Authority,Defaults to HTTPS,2,Yes
Tennessee Valley Authority,Downgrades HTTPS,2,Yes
Tennessee Valley Authority,HSTS,2,Yes
Tennessee Valley Authority,HSTS All Subdomains,2,Yes
Tennessee Valley Authority,HSTS Preload Ready,2,Yes
Tennessee Valley Authority,HTTPS Bad Chain,2,Yes
Tennessee Valley Authority,HTTPS Bad Hostname,2,Yes
Tennessee Valley Authority,Live,2,Yes
Tennessee Valley Authority,Redirect,2,Yes
Tennessee Valley Authority,Strictly Forces HTTPS,2,Yes
Tennessee Valley Authority,Valid HTTPS,2,Yes
Terrorist Screening Center,Broken Root,0,Yes
Terrorist Screening Center,Broken WWW,0,Yes
Terrorist Screening Center,Defaults to HTTPS,1,Yes
Terrorist Screening Center,Downgrades HTTPS,1,Yes
Terrorist Screening Center,HSTS,1,Yes
Terrorist Screening Center,HSTS All Subdomains,1,Yes
Terrorist Screening Center,HSTS Preload Ready,1,Yes
Terrorist Screening Center,HTTPS Bad Chain,1,Yes
Terrorist Screening Center,HTTPS Bad Hostname,1,Yes
Terrorist Screening Center,Live,1,Yes
Terrorist Screening Center,Redirect,1,Yes
Terrorist Screening Center,Strictly Forces HTTPS,1,Yes
Terrorist Screening Center,Valid HTTPS,1,Yes
The Intelligence Community,Broken Root,0,Yes
The Intelligence Community,Broken WWW,0,Yes
The Intelligence Community,Defaults to HTTPS,1,Yes
The Intelligence Community,Downgrades HTTPS,1,Yes
The Intelligence Community,HSTS,1,Yes
The Intelligence Community,HSTS All Subdomains,1,Yes
The Intelligence Community,HSTS Preload Ready,1,Yes
The Intelligence Community,HTTPS Bad Chain,1,Yes
The Intelligence Community,HTTPS Bad Hostname,1,Yes
The Intelligence Community,Live,1,Yes
The Intelligence Community,Redirect,1,Yes
The Intelligence Community,Strictly Forces HTTPS,1,Yes
The Intelligence Community,Valid HTTPS,1,Yes
The Judicial Branch (Courts),Broken Root,3,Yes
The Judicial Branch (Courts),Broken WWW,7,Yes
The Judicial Branch (Courts),Defaults to HTTPS,27,Yes
The Judicial Branch (Courts),Downgrades HTTPS,27,Yes
The Judicial Branch (Courts),HSTS,27,Yes
The Judicial Branch (Courts),HSTS All Subdomains,27,Yes
The Judicial Branch (Courts),HSTS Preload Ready,27,Yes
The Judicial Branch (Courts),HTTPS Bad Chain,23,Yes
The Judicial Branch (Courts),HTTPS Bad Hostname,27,Yes
The Judicial Branch (Courts),Live,20,Yes
The Judicial Branch (Courts),Redirect,24,Yes
The Judicial Branch (Courts),Strictly Forces HTTPS,27,Yes
The Judicial Branch (Courts),Valid HTTPS,26,Yes
The Legislative Branch (Congress),Broken Root,28,Yes
The Legislative Branch (Congress),Broken WWW,29,Yes
The Legislative Branch (Congress),Defaults to HTTPS,47,Yes
The Legislative Branch (Congress),Downgrades HTTPS,43,Yes
The Legislative Branch (Congress),HSTS,48,Yes
The Legislative Branch (Congress),HSTS All Subdomains,48,Yes
The Legislative Branch (Congress),HSTS Preload Ready,48,Yes
The Legislative Branch (Congress),HTTPS Bad Chain,30,Yes
The Legislative Branch (Congress),HTTPS Bad Hostname,48,Yes
The Legislative Branch (Congress),Live,19,Yes
The Legislative Branch (Congress),Redirect,41,Yes
The Legislative Branch (Congress),Strictly Forces HTTPS,48,Yes
The Legislative Branch (Congress),Valid HTTPS,44,Yes
The United States World War One Centennial Commission,Broken Root,0,Yes
The United States World War One Centennial Commission,Broken WWW,0,Yes
The United States World War One Centennial Commission,Defaults to HTTPS,1,Yes
The United States World War One Centennial Commission,Downgrades HTTPS,1,Yes
The United States World War One Centennial Commission,HSTS,1,Yes
The United States World War One Centennial Commission,HSTS All Subdomains,1,Yes
The United States World War One Centennial Commission,HSTS Preload Ready,1,Yes
The United States World War One Centennial Commission,HTTPS Bad Chain,1,Yes
The United States World War One Centennial Commission,HTTPS Bad Hostname,1,Yes
The United States World War One Centennial Commission,Live,1,Yes
The United States World War One Centennial Commission,Redirect,1,Yes
The United States World War One Centennial Commission,Strictly Forces HTTPS,1,Yes
The United States World War One Centennial Commission,Valid HTTPS,1,Yes
U. S. Access Board,Broken Root,0,Yes
U. S. Access Board,Broken WWW,0,Yes
U. S. Access Board,Defaults to HTTPS,2,Yes
U. S. Access Board,Downgrades HTTPS,2,Yes
U. S. Access Board,HSTS,2,Yes
U. S. Access Board,HSTS All Subdomains,2,Yes
U. S. Access Board,HSTS Preload Ready,2,Yes
U. S. Access Board,HTTPS Bad Chain,2,Yes
U. S. Access Board,HTTPS Bad Hostname,2,Yes
U. S. Access Board,Live,2,Yes
U. S. Access Board,Redirect,2,Yes
U. S. Access Board,Strictly Forces HTTPS,2,Yes
U. S. Access Board,Valid HTTPS,2,Yes
U. S. Holocaust Memorial Museum,Broken Root,0,Yes
U. S. Holocaust Memorial Museum,Broken WWW,0,Yes
U. S. Holocaust Memorial Museum,Defaults to HTTPS,1,Yes
U. S. Holocaust Memorial Museum,Downgrades HTTPS,1,Yes
U. S. Holocaust Memorial Museum,HSTS,1,Yes
U. S. Holocaust Memorial Museum,HSTS All Subdomains,1,Yes
U. S. Holocaust Memorial Museum,HSTS Preload Ready,1,Yes
U. S. Holocaust Memorial Museum,HTTPS Bad Chain,1,Yes
U. S. Holocaust Memorial Museum,HTTPS Bad Hostname,1,Yes
U. S. Holocaust Memorial Museum,Live,1,Yes
U. S. Holocaust Memorial Museum,Redirect,1,Yes
U. S. Holocaust Memorial Museum,Strictly Forces HTTPS,1,Yes
U. S. Holocaust Memorial Museum,Valid HTTPS,1,Yes
U. S. International Trade Commission,Broken Root,0,Yes
U. S. International Trade Commission,Broken WWW,0,Yes
U. S. International Trade Commission,Defaults to HTTPS,1,Yes
U. S. International Trade Commission,Downgrades HTTPS,1,Yes
U. S. International Trade Commission,HSTS,1,Yes
U. S. International Trade Commission,HSTS All Subdomains,1,Yes
U. S. International Trade Commission,HSTS Preload Ready,1,Yes
U. S. International Trade Commission,HTTPS Bad Chain,1,Yes
U. S. International Trade Commission,HTTPS Bad Hostname,1,Yes
U. S. International Trade Commission,Live,1,Yes
U. S. International Trade Commission,Redirect,1,Yes
U. S. International Trade Commission,Strictly Forces HTTPS,1,Yes
U. S. International Trade Commission,Valid HTTPS,1,Yes
U. S. Office of Special Counsel,Broken Root,0,Yes
U. S. Office of Special Counsel,Broken WWW,0,Yes
U. S. Office of Special Counsel,Defaults to HTTPS,2,Yes
U. S. Office of Special Counsel,Downgrades HTTPS,2,Yes
U. S. Office of Special Counsel,HSTS,2,Yes
U. S. Office of Special Counsel,HSTS All Subdomains,2,Yes
U. S. Office of Special Counsel,HSTS Preload Ready,2,Yes
U. S. Office of Special Counsel,HTTPS Bad Chain,2,Yes
U. S. Office of Special Counsel,HTTPS Bad Hostname,2,Yes
U. S. Office of Special Counsel,Live,2,Yes
U. S. Office of Special Counsel,Redirect,2,Yes
U. S. Office of Special Counsel,Strictly Forces HTTPS,2,Yes
U. S. Office of Special Counsel,Valid HTTPS,2,Yes
U. S. Peace Corps,Broken Root,0,Yes
U. S. Peace Corps,Broken WWW,0,Yes
U. S. Peace Corps,Defaults to HTTPS,3,Yes
U. S. Peace Corps,Downgrades HTTPS,3,Yes
U. S. Peace Corps,HSTS,3,Yes
U. S. Peace Corps,HSTS All Subdomains,3,Yes
U. S. Peace Corps,HSTS Preload Ready,3,Yes
U. S. Peace Corps,HTTPS Bad Chain,3,Yes
U. S. Peace Corps,HTTPS Bad Hostname,3,Yes
U. S. Peace Corps,Live,3,Yes
U. S. Peace Corps,Redirect,3,Yes
U. S. Peace Corps,Strictly Forces HTTPS,3,Yes
U. S. Peace Corps,Valid HTTPS,3,Yes
U. S. Postal Service,Broken Root,3,Yes
U. S. Postal Service,Broken WWW,4,Yes
U. S. Postal Service,Defaults to HTTPS,3,Yes
U. S. Postal Service,Downgrades HTTPS,5,Yes
U. S. Postal Service,HSTS,5,Yes
U. S. Postal Service,HSTS All Subdomains,5,Yes
U. S. Postal Service,HSTS Preload Ready,5,Yes
U. S. Postal Service,HTTPS Bad Chain,3,Yes
U. S. Postal Service,HTTPS Bad Hostname,5,Yes
U. S. Postal Service,Live,1,Yes
U. S. Postal Service,Redirect,2,Yes
U. S. Postal Service,Strictly Forces HTTPS,3,Yes
U. S. Postal Service,Valid HTTPS,4,Yes
U.S. Agency for International Development,Broken Root,9,Yes
U.S. Agency for International Development,Broken WWW,9,Yes
U.S. Agency for International Development,Defaults to HTTPS,11,Yes
U.S. Agency for International Development,Downgrades HTTPS,10,Yes
U.S. Agency for International Development,HSTS,12,Yes
U.S. Agency for International Development,HSTS All Subdomains,12,Yes
U.S. Agency for International Development,HSTS Preload Ready,12,Yes
U.S. Agency for International Development,HTTPS Bad Chain,6,Yes
U.S. Agency for International Development,HTTPS Bad Hostname,12,Yes
U.S. Agency for International Development,Live,2,Yes
U.S. Agency for International Development,Redirect,10,Yes
U.S. Agency for International Development,Strictly Forces HTTPS,11,Yes
U.S. Agency for International Development,Valid HTTPS,8,Yes
U.S. Capitol Police,Broken Root,0,Yes
U.S. Capitol Police,Broken WWW,0,Yes
U.S. Capitol Police,Defaults to HTTPS,1,Yes
U.S. Capitol Police,Downgrades HTTPS,1,Yes
U.S. Capitol Police,HSTS,1,Yes
U.S. Capitol Police,HSTS All Subdomains,1,Yes
U.S. Capitol Police,HSTS Preload Ready,1,Yes
U.S. Capitol Police,HTTPS Bad Chain,1,Yes
U.S. Capitol Police,HTTPS Bad Hostname,1,Yes
U.S. Capitol Police,Live,1,Yes
U.S. Capitol Police,Redirect,1,Yes
U.S. Capitol Police,Strictly Forces HTTPS,1,Yes
U.S. Capitol Police,Valid HTTPS,1,Yes
U.S. Chemical Safety and Hazard Investigation Board,Broken Root,0,Yes
U.S. Chemical Safety and Hazard Investigation Board,Broken WWW,0,Yes
U.S. Chemical Safety and Hazard Investigation Board,Defaults to HTTPS,3,Yes
U.S. Chemical Safety and Hazard Investigation Board,Downgrades HTTPS,3,Yes
U.S. Chemical Safety and Hazard Investigation Board,HSTS,3,Yes
U.S. Chemical Safety and Hazard Investigation Board,HSTS All Subdomains,3,Yes
U.S. Chemical Safety and Hazard Investigation Board,HSTS Preload Ready,3,Yes
U.S. Chemical Safety and Hazard Investigation Board,HTTPS Bad Chain,3,Yes
U.S. Chemical Safety and Hazard Investigation Board,HTTPS Bad Hostname,3,Yes
U.S. Chemical Safety and Hazard Investigation Board,Live,3,Yes
U.S. Chemical Safety and Hazard Investigation Board,Redirect,3,Yes
U.S. Chemical Safety and Hazard Investigation Board,Strictly Forces HTTPS,3,Yes
U.S. Chemical Safety and Hazard Investigation Board,Valid HTTPS,3,Yes
