Domain,Canonical,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HSTS,HSTS Header,HSTS All Subdomains,HSTS Preload Ready,Broken Root,Broken WWW
brookfieldct.gov,http://brookfieldct.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
brookfieldil.gov,http://brookfieldil.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
brookhavenga.gov,http://brookhavenga.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
brooklinema.gov,http://brooklinema.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
brooklynohio.gov,http://brooklynohio.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
brooklynwi.gov,http://brooklynwi.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
brownsvilletn.gov,http://brownsvilletn.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
brownwoodtexas.gov,http://brownwoodtexas.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
brycecanyoncityut.gov,http://www.brycecanyoncityut.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
brysoncitync.gov,http://www.brysoncitync.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
buckeyeaz.gov,http://www.buckeyeaz.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bucksportmaine.gov,http://www.bucksportmaine.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
buenavistaco.gov,http://buenavistaco.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bullheadcityaz.gov,http://bullheadcityaz.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bunkerhilltx.gov,https://bunkerhilltx.gov,True,False,,True,True,False,True,False,False,False,,False,False,False,False
burbankca.gov,http://burbankca.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
burbankil.gov,http://burbankil.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
burienwa.gov,http://burienwa.gov,True,False,,True,False,False,False,False,False,False,,False,False,False,False
