Domain,Grade,Signature Algorithm,Key Type,Key Size,Forward Secrecy,OCSP Stapling,Fallback SCSV,RC4,SSLv3,TLSv1.2,SPDY,Requires SNI,HTTP/2
contractdirectory.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
cpars.gov,C,SHA1withRSA,RSA,2048,1,False,True,False,False,False,False,False,False
cpnireporting.gov,T,SHA256withRSA,RSA,2048,1,False,False,True,True,False,False,False,False
cpsc.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
crimesolutions.gov,C,SHA256withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
crimesolutions.gov,T,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
cuidadodesalud.gov,A+,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
cuidadodesalud.gov,A+,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
data.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
data.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
data.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
denali.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,True,False,False,False
dfafacts.gov,F,SHA1withRSA,RSA,1024,0,True,False,True,True,False,False,False,False
dhs.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
dhs.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
digitalgov.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
digitalgov.gov,C,SHA1withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
digitalgov.gov,C,SHA1withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
directoasucuenta.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
disability.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
disasterassistance.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
disasterassistance.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
docline.gov,B,SHA1withRSA,RSA,2048,4,False,True,True,False,True,False,False,False
doioig.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
dol.gov,C,SHA256withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
dol.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
donotcall.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
dot.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
dotgov.gov,B,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
dotideahub.gov,C,SHA256withRSA,RSA,2048,0,False,True,True,True,True,False,False,False
dotideahub.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
