Domain,Base Domain,SSLv2,SSLv3,TLSv1.0,TLSv1.1,TLSv1.2,Any Forward Secrecy,All Forward Secrecy,Weakest DH Group Size,Any RC4,All RC4,OCSP Stapling,Key Type,Key Length,Signature Algorithm,SHA-1 in Served Chain,Not Before,Not After,Highest Served Issuer,Errors
truman.gov,truman.gov,False,False,True,True,True,True,True,4096,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-07-16 21:37:32+00:00,2016-07-18 02:30:55+00:00,GeoTrust Global CA,
tsa.gov,tsa.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-24 00:00:00+00:00,2016-09-23 23:59:59+00:00,GeoTrust Global CA,
tsp.gov,tsp.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-10 00:00:00+00:00,2016-09-09 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
udall.gov,udall.gov,False,False,True,False,False,True,False,,False,False,True,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-10-02 00:00:00+00:00,2016-06-14 23:59:59+00:00,GeoTrust Global CA,
unicor.gov,unicor.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-03-27 00:00:00+00:00,2016-04-18 23:59:59+00:00,Class 3 Public Primary Certification Authority,
unlocktalent.gov,unlocktalent.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-28 00:00:00+00:00,2016-11-26 23:59:59+00:00,GeoTrust Global CA,
us-cert.gov,us-cert.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-24 00:00:00+00:00,2016-09-23 23:59:59+00:00,GeoTrust Global CA,
usa.gov,usa.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
usaid.gov,usaid.gov,False,False,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2013-10-22 12:00:01+00:00,2016-06-29 12:00:00+00:00,DigiCert High Assurance EV Root CA,
usaidallnet.gov,usaidallnet.gov,False,True,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2012-08-29 00:00:00+00:00,2015-11-02 12:00:00+00:00,DigiCert High Assurance EV Root CA,
usajobs.gov,usajobs.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-03-30 22:41:21+00:00,2016-03-30 22:41:18+00:00,GTE CyberTrust Global Root,
usalearning.gov,usalearning.gov,False,True,True,False,False,True,False,1024,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-01-31 16:50:11+00:00,2015-10-01 01:26:59+00:00,Entrust.net Certification Authority (2048),
usap.gov,usap.gov,False,False,False,True,True,True,False,1024,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-02-19 00:00:00+00:00,2016-12-30 12:00:00+00:00,DigiCert Global Root CA,
usaspending.gov,usaspending.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
usastaffing.gov,usastaffing.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-07 00:00:00+00:00,2016-04-09 23:59:59+00:00,GeoTrust Global CA,
usbg.gov,usbg.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,4096,sha256WithRSAEncryption,True,2014-09-11 00:00:00+00:00,2015-11-20 12:00:00+00:00,DigiCert High Assurance EV Root CA,
usbr.gov,usbr.gov,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-09-15 00:00:00+00:00,2016-09-19 23:59:59+00:00,Class 3 Public Primary Certification Authority,
uscis.gov,uscis.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2015-06-19 16:52:07+00:00,2016-06-19 16:52:05+00:00,GTE CyberTrust Global Root,
usgs.gov,usgs.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-13 00:00:00+00:00,2016-08-17 12:00:00+00:00,DigiCert High Assurance EV Root CA,
usmint.gov,usmint.gov,False,True,True,False,True,False,False,,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-04-24 15:17:30+00:00,2017-04-24 00:07:45+00:00,Entrust.net Certification Authority (2048),
usps.gov,usps.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-03-05 21:29:47+00:00,2016-03-05 21:29:45+00:00,GTE CyberTrust Global Root,
uspsoig.gov,uspsoig.gov,False,False,True,True,True,True,False,1024,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-26 00:00:00+00:00,2018-07-04 12:00:00+00:00,DigiCert High Assurance EV Root CA,
ustaxcourt.gov,ustaxcourt.gov,False,False,True,True,True,True,False,,True,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-21 00:00:00+00:00,2017-04-21 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
ustda.gov,ustda.gov,True,True,True,False,False,False,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-05-30 17:31:14+00:00,2019-05-30 17:31:14+00:00,Go Daddy Secure Certificate Authority - G2,
ustr.gov,ustr.gov,False,False,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-01-22 19:21:45+00:00,2018-04-22 21:48:47+00:00,Entrust Root Certification Authority,
va.gov,va.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-01-09 14:18:31+00:00,2017-01-09 14:18:31+00:00,Veterans Affairs Device CA B2,
vallescaldera.gov,vallescaldera.gov,True,False,True,False,False,True,False,,True,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-11-17 00:00:00+00:00,2015-11-17 23:59:59+00:00,AddTrust External CA Root,
vef.gov,vef.gov,True,True,True,False,False,True,False,512,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2013-12-16 00:00:00+00:00,2017-03-15 23:59:59+00:00,AddTrust External CA Root,
visitthecapitol.gov,visitthecapitol.gov,False,True,True,False,False,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-22 11:51:28+00:00,2016-04-23 04:08:03+00:00,Entrust Root Certification Authority,
volunteer.gov,volunteer.gov,False,False,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-12-14 21:44:20+00:00,2017-01-16 07:26:59+00:00,GeoTrust Global CA,
volunteeringinamerica.gov,volunteeringinamerica.gov,False,False,True,True,True,True,False,1024,False,False,True,rsaEncryption,4096,sha256WithRSAEncryption,False,2015-01-29 00:00:00+00:00,2016-01-29 23:59:59+00:00,AddTrust External CA Root,
wapa.gov,wapa.gov,False,False,True,False,False,False,False,,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-06-17 19:38:40+00:00,2018-08-17 21:45:59+00:00,Entrust.net Certification Authority (2048),
wh.gov,wh.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-09 02:58:16+00:00,2016-04-16 17:25:42+00:00,GeoTrust Global CA,
whitehouse.gov,whitehouse.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-04-15 20:43:26+00:00,2016-04-15 20:43:22+00:00,GTE CyberTrust Global Root,
whitehousedrugpolicy.gov,whitehousedrugpolicy.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-09 02:58:16+00:00,2016-04-16 17:25:42+00:00,GeoTrust Global CA,
wlci.gov,wlci.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-09-03 00:00:00+00:00,2015-10-30 12:00:00+00:00,DigiCert High Assurance EV Root CA,
wmatc.gov,wmatc.gov,False,True,True,False,False,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2013-10-22 12:00:01+00:00,2016-01-06 12:00:00+00:00,DigiCert High Assurance EV Root CA,
womenfarmerclaims.gov,womenfarmerclaims.gov,False,True,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-02-06 14:16:57+00:00,2017-02-21 07:49:54+00:00,Entrust.net Certification Authority (2048),
womenshealth.gov,womenshealth.gov,True,False,True,False,False,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-01-08 00:00:00+00:00,2017-01-07 23:59:59+00:00,thawte Primary Root CA,
workplace.gov,workplace.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
wrp.gov,wrp.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-25 00:00:00+00:00,2016-07-11 12:00:00+00:00,DigiCert Global Root CA,
youthgo.gov,youthgo.gov,False,True,True,True,True,True,False,2048,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-02-06 20:38:38+00:00,2018-02-11 19:58:21+00:00,Go Daddy Class 2 Certification Authority,
