Domain,Branch,Agency,Redirect,Participates in DAP?
cao.gov,executive,General Services Administration,No,Yes
capnhq.gov,executive,Civil Air Patrol,No,No
casl.gov,executive,Department of Energy,No,No
cbca.gov,executive,General Services Administration,No,No
cbp.gov,executive,Department of Commerce,No,Yes
ccac.gov,executive,Department of the Treasury,No,Yes
ccr.gov,executive,General Services Administration,No,No
cdc.gov,executive,Department of Health And Human Services,No,Yes
cdfifund.gov,executive,Department of the Treasury,No,No
cendi.gov,executive,Department of Energy,No,No
census.gov,executive,Department of Commerce,No,Yes
cfa.gov,executive,U.S. Commission of Fine Arts,No,No
cfda.gov,executive,General Services Administration,No,Yes
cflhd.gov,executive,Department of Transportation,No,No
cfo.gov,executive,General Services Administration,No,Yes
cftc.gov,executive,Commodity Futures Trading Commission,No,No
challenge.gov,executive,General Services Administration,No,Yes
change.gov,executive,Executive Office of the President,No,No
chcoc.gov,executive,Office of Personnel Management,No,Yes
childreninadversity.gov,executive,U.S. Agency for International Development,No,No
childwelfare.gov,executive,Department of Health And Human Services,No,No
choosemyplate.gov,executive,Department of Agriculture,No,Yes
christophercolumbusfoundation.gov,executive,Christopher Columbus Fellowship Foundation,No,Yes
cia.gov,executive,Central Intelligence Agency,No,No
cio.gov,executive,General Services Administration,No,Yes
civilianresponsecorps.gov,executive,Department of State,No,No
civilrightsusa.gov,executive,Department of Commerce,No,No
climate.gov,executive,Department of Commerce,No,Yes
clinicaltrial.gov,executive,Department of Health And Human Services,No,No
clinicaltrials.gov,executive,Department of Health And Human Services,No,No
clintonlibrary.gov,executive,National Archives and Records Administration,No,Yes
cloud.gov,executive,General Services Administration,No,Yes
cms.gov,executive,Department of Health And Human Services,No,No
cmts.gov,executive,Department of Defense,No,Yes
cncsoig.gov,executive,Corporation for National & Community Service,No,No
cnss.gov,executive,Department of Defense,No,Yes
coast2050.gov,executive,Department of the Interior,No,Yes
coastalamerica.gov,executive,Department of Agriculture,No,Yes
collegedrinkingprevention.gov,executive,Department of Health And Human Services,No,No
collegenavigator.gov,executive,Department of Education,No,No
commerce.gov,executive,Department of Commerce,No,Yes
complaintreferralexpress.gov,executive,Department of the Treasury,No,No
comptrollerofthecurrency.gov,executive,Department of the Treasury,No,Yes
computersforlearning.gov,executive,General Services Administration,No,Yes
connect.gov,executive,General Services Administration,No,Yes
consumer.gov,executive,Federal Trade Commission,No,Yes
consumerfinance.gov,executive,Consumer Financial Protection Bureau,No,Yes
consumersentinel.gov,executive,Federal Trade Commission,No,No
consumidor.gov,executive,Federal Trade Commission,No,Yes
continentalshelf.gov,executive,Department of State,No,No
contractdirectory.gov,executive,General Services Administration,No,Yes
coralreef.gov,executive,Department of the Interior,No,Yes
cpars.gov,executive,General Services Administration,No,Yes
cpnireporting.gov,executive,Department of Homeland Security,No,No
cpsc.gov,executive,Consumer Product Safety Commission,No,Yes
crimesolutions.gov,executive,Department of Justice,No,Yes
crimevictims.gov,executive,Department of Justice,No,Yes
crt2014-2024review.gov,executive,Department of Energy,No,No
csb.gov,executive,U.S. Chemical Safety and Hazard Investigation Board,No,No
csosa.fed.us,executive,Court Services and Offender Supervision,No,No
csosa.gov,executive,Court Services and Offender Supervision,No,No
ctoc.gov,executive,Department of Defense,No,No
cttso.gov,executive,Department of Defense,No,No
cuidadodesalud.gov,executive,Department of Health And Human Services,No,No
cupcao.gov,executive,Department of the Interior,No,No
cwc.gov,executive,Department of State,No,Yes
data.gov,executive,General Services Administration,No,Yes
dea.gov,executive,Department of Justice,No,Yes
deadiversion.gov,executive,Department of Justice,No,No
defense.gov,executive,Department of Defense,No,Yes
denali.gov,executive,Denali Commission,No,No
dfafacts.gov,executive,U.S. Agency for International Development,No,No
dhs.gov,executive,Department of Homeland Security,No,Yes
digitalgov.gov,executive,General Services Administration,No,Yes
digitalliteracy.gov,executive,Department of Commerce,No,No
directoasucuenta.gov,executive,Department of the Treasury,No,No
disability.gov,executive,Department of Labor,No,Yes
disasterassistance.gov,executive,Department of Homeland Security,No,Yes
disasterhousing.gov,executive,Department of Housing And Urban Development,No,No
distracteddriving.gov,executive,Department of Transportation,No,Yes
distraction.gov,executive,Department of Transportation,No,Yes
dnfsb.gov,executive,Defense Nuclear Facilities Safety Board,No,No
dni.gov,executive,Director of National Intelligence,No,No
dnsops.gov,executive,Department of Commerce,No,No
docline.gov,executive,Department of Health And Human Services,No,No
dod.gov,executive,Department of Defense,No,No
doe.gov,executive,Department of Energy,No,No
doi.gov,executive,Department of the Interior,No,Yes
doioig.gov,executive,Department of the Interior,No,No
dol-esa.gov,executive,Department of Labor,No,No
dol.gov,executive,Department of Labor,No,Yes
doleta.gov,executive,Department of Labor,No,Yes
donaciondeorganos.gov,executive,Department of Health And Human Services,No,Yes
donotcall.gov,executive,Federal Trade Commission,No,Yes
dotgov.gov,executive,General Services Administration,No,Yes
dottrafficrecords.gov,executive,Department of Transportation,No,No
dra.gov,executive,Delta Regional Authority,No,No
drought.gov,executive,Department of Commerce,No,Yes
drugabuse.gov,executive,Department of Health And Human Services,No,Yes
dsac.gov,executive,Department of Justice,No,No
eac.gov,executive,General Services Administration,No,No
economicinclusion.gov,executive,Federal Deposit Insurance Corporation,No,No
econsumer.gov,executive,Federal Trade Commission,No,Yes
ecopartnerships.gov,executive,Department of State,No,No
ecpic.gov,executive,General Services Administration,No,Yes
ed.gov,executive,Department of Education,No,Yes
eda.gov,executive,Department of Commerce,No,Yes
edpubs.gov,executive,Department of Education,No,Yes
education.gov,executive,Department of Education,No,Yes
educationjobsfund.gov,executive,Recovery Accountability and Transparency Board,No,No
eeoc.gov,executive,Equal Employment Opportunity Commission,No,No
eftps.gov,executive,Department of the Treasury,No,No
eia.gov,executive,Department of Energy,No,No
eisenhowermemorial.gov,executive,General Services Administration,No,No
eldercare.gov,executive,Department of Health And Human Services,No,No
employeeexpress.gov,executive,Office of Personnel Management,No,Yes
empowhr.gov,executive,Department of Agriculture,No,No
ems.gov,executive,Department of Transportation,No,Yes
endingthedocumentgame.gov,executive,Department of Health And Human Services,No,No
energy.gov,executive,Department of Energy,No,Yes
energycodes.gov,executive,Department of Energy,No,No
energystar.gov,executive,Environmental Protection Agency,No,Yes
epa.gov,executive,Environmental Protection Agency,No,Yes
epls.gov,executive,General Services Administration,No,Yes
esa.gov,executive,Department of Commerce,No,No
esc.gov,executive,Department of Transportation,No,No
esrs.gov,executive,General Services Administration,No,Yes
eta-find.gov,executive,Department of the Treasury,No,No
ethicsburg.gov,executive,Department of the Treasury,No,No
evergladesrestoration.gov,executive,Department of the Interior,No,No
everykidinapark.gov,executive,General Services Administration,No,Yes
execsec.gov,executive,Department of Agriculture,No,No
exim.gov,executive,Export/Import Bank of the U.S.,No,No
export.gov,executive,Department of Commerce,No,Yes
eyenote.gov,executive,Department of the Treasury,No,No
faa.gov,executive,Department of Transportation,No,Yes
faasafety.gov,executive,Department of Transportation,No,No
facadatabase.gov,executive,General Services Administration,No,Yes
fafsa.gov,executive,Department of Education,No,No
fai.gov,executive,General Services Administration,No,Yes
fan.gov,executive,Department of State,No,No
fapiis.gov,executive,General Services Administration,No,Yes
fara.gov,executive,Department of Justice,No,Yes
farmerclaims.gov,executive,Department of Agriculture,No,No
fatherhood.gov,executive,Department of Health And Human Services,No,No
fbi.gov,executive,Department of Justice,No,No
fbiic.gov,executive,Federal Reserve System,No,No
fbijobs.gov,executive,Department of Justice,No,No
fbo.gov,executive,General Services Administration,No,Yes
fca.gov,executive,Farm Credit Administration,No,No
fcc.gov,executive,Federal Communications Commission,No,No
fcg.gov,executive,Department of the Interior,No,No
fcsic.gov,executive,Farm Credit Administration,No,No
fda.gov,executive,Department of Health And Human Services,No,Yes
fdic.gov,executive,Federal Deposit Insurance Corporation,No,No
fdicbets.gov,executive,Federal Deposit Insurance Corporation,No,No
fdicig.gov,executive,Federal Deposit Insurance Corporation,No,No
fdicseguro.gov,executive,Federal Deposit Insurance Corporation,No,No
fdms.gov,executive,Environmental Protection Agency,No,No
fea.gov,executive,Denali Commission,No,Yes
feb.gov,executive,Office of Personnel Management,No,Yes
fec.gov,executive,Federal Elections Commission,No,Yes
fedcenter.gov,executive,Environmental Protection Agency,No,No
federalinvestments.gov,executive,Department of the Treasury,No,Yes
federalreserve.gov,executive,Federal Reserve System,No,No
federalreserveconsumerhelp.gov,executive,Federal Reserve System,No,No
fedidcard.gov,executive,General Services Administration,No,No
fedinvest.gov,executive,Department of the Treasury,No,Yes
fedpartnership.gov,executive,Federal Reserve System,No,No
fedramp.gov,executive,General Services Administration,No,Yes
fedrooms.gov,executive,General Services Administration,No,No
fedshirevets.gov,executive,Office of Personnel Management,No,Yes
feedthefuture.gov,executive,U.S. Agency for International Development,No,Yes
fema.gov,executive,Department of Homeland Security,No,Yes
femalefarmerclaims.gov,executive,Department of Agriculture,No,No
ferc.gov,executive,Federal Energy Regulatory Commission,No,Yes
fercalt.gov,executive,Federal Energy Regulatory Commission,No,No
ffiec.gov,executive,Federal Reserve System,No,No
fgdc.gov,executive,Department of the Interior,No,Yes
fhfa.gov,executive,Federal Housing Finance Agency,No,No
fhfaoig.gov,executive,Federal Housing Finance Agency Office of Inspector General,No,No
fido.gov,executive,General Services Administration,No,Yes
financialresearch.gov,executive,Department of the Treasury,No,Yes
fincen.gov,executive,Department of the Treasury,No,No
firecode.gov,executive,Department of the Interior,No,No
fireleadership.gov,executive,Department of the Interior,No,No
firescience.gov,executive,Department of the Interior,No,No
firstnet.gov,executive,Department of Commerce,No,No
firstresponder.gov,executive,Department of Homeland Security,No,Yes
firstrespondertraining.gov,executive,Department of Homeland Security,No,No
fiscalcommission.gov,executive,Executive Office of the President,No,No
fishwatch.gov,executive,Department of Commerce,No,No
fitness.gov,executive,Department of Health And Human Services,No,Yes
fleta.gov,executive,Department of Homeland Security,No,Yes
fletc.gov,executive,Department of Homeland Security,No,No
flightschoolcandidates.gov,executive,Department of Homeland Security,No,No
floodsmart.gov,executive,Department of Homeland Security,No,Yes
flra.gov,executive,Federal Labor Relations Authority,No,No
flu.gov,executive,Department of Health And Human Services,No,Yes
fmc.gov,executive,Federal Maritime Commission,No,No
fmcs.gov,executive,Federal Mediation and Conciliation Service,No,No
fmi.gov,executive,General Services Administration,No,Yes
fnal.gov,executive,Department of Energy,No,No
foia.gov,executive,Department of Justice,No,Yes
foodsafety.gov,executive,Department of Health And Human Services,No,Yes
foodsafetyworkinggroup.gov,executive,Department of Agriculture,No,No
fordlibrarymuseum.gov,executive,National Archives and Records Administration,No,Yes
foreignassistance.gov,executive,Department of State,No,No
forestsandrangelands.gov,executive,Department of Agriculture,No,No
forfeiture.gov,executive,Department of Justice,No,Yes
fpds.gov,executive,General Services Administration,No,Yes
frtib.gov,executive,Federal Retirement Thrift Investment Board,No,No
frtr.gov,executive,Environmental Protection Agency,No,No
fs.fed.us,executive,Department of Agriculture,No,No
fsafeds.gov,executive,Office of Personnel Management,No,No
fsapubs.gov,executive,Department of Education,No,Yes
fsd.gov,executive,General Services Administration,No,Yes
fsgb.gov,executive,Department of State,No,No
fsrs.gov,executive,General Services Administration,No,Yes
ftc.gov,executive,Federal Trade Commission,No,Yes
ftccomplaintassistant.gov,executive,Federal Trade Commission,No,Yes
ftcefile.gov,executive,Federal Trade Commission,No,No
fttesttwai.gov,executive,Department of the Treasury,No,No
fueleconomy.gov,executive,Department of Energy,No,No
fvap.gov,executive,Department of Defense,No,No
fws.gov,executive,Department of the Interior,No,Yes
g5.gov,executive,Department of Education,No,Yes
gcdamp.gov,executive,Department of the Interior,No,No
gcmrc.gov,executive,Department of the Interior,No,Yes
genome.gov,executive,Department of Health And Human Services,No,No
geocommunicator.gov,executive,Department of the Interior,No,No
geomac.gov,executive,Department of the Interior,No,Yes
geoplatform.gov,executive,Department of the Interior,No,No
ghi.gov,executive,Department of State,No,Yes
ginniemae.gov,executive,Department of Housing And Urban Development,No,Yes
girlshealth.gov,executive,Department of Health And Human Services,No,No
globalchange.gov,executive,United Stated Global Change Research Program,No,Yes
globalhealth.gov,executive,Department of Health And Human Services,No,Yes
globe.gov,executive,National Aeronautics and Space Administration,No,No
godirect.gov,executive,Department of the Treasury,No,No
goes-r.gov,executive,Department of Commerce,No,Yes
golearn.gov,executive,Office of Personnel Management,No,Yes
govloans.gov,executive,Department of Labor,No,Yes
govsales.gov,executive,General Services Administration,No,Yes
gps.gov,executive,Department of Commerce,No,Yes
grants.gov,executive,Department of Health And Human Services,No,No
grantsolutions.gov,executive,Department of Health And Human Services,No,No
greengov.gov,executive,Environmental Protection Agency,No,No
gsa.gov,executive,General Services Administration,No,Yes
gsaadvantage.gov,executive,General Services Administration,No,Yes
gsaauctions.gov,executive,General Services Administration,No,Yes
gsadvantage.gov,executive,General Services Administration,No,No
gsaig.gov,executive,General Services Administration,No,No
gsaxcess.gov,executive,General Services Administration,No,Yes
guideline.gov,executive,Department of Health And Human Services,No,Yes
gwa.gov,executive,Department of the Treasury,No,No
hanford.gov,executive,Department of Energy,No,No
harp.gov,executive,Federal Housing Finance Agency,No,No
health.gov,executive,Department of Health And Human Services,No,No
healthcare.gov,executive,Department of Health And Human Services,No,No
healthdata.gov,executive,Department of Health And Human Services,No,No
healthfinder.gov,executive,Department of Health And Human Services,No,No
healthindicators.gov,executive,Department of Health And Human Services,No,No
healthit.gov,executive,Department of Health And Human Services,No,Yes
healthypeople.gov,executive,Department of Health And Human Services,No,No
helpwithmybank.gov,executive,Department of the Treasury,No,Yes
helpwithmycheckingaccount.gov,executive,Department of the Treasury,No,Yes
helpwithmycreditcard.gov,executive,Department of the Treasury,No,Yes
helpwithmycreditcardbank.gov,executive,Department of the Treasury,No,Yes
helpwithmymortgage.gov,executive,Department of the Treasury,No,Yes
helpwithmymortgagebank.gov,executive,Department of the Treasury,No,Yes
hhs.gov,executive,Department of Health And Human Services,No,Yes
hispanicfarmerclaims.gov,executive,Department of Agriculture,No,No
homesales.gov,executive,Department of Housing And Urban Development,No,No
hrsa.gov,executive,Department of Health And Human Services,No,Yes
hru.gov,executive,Office of Personnel Management,No,Yes
hsa.gov,executive,Small Business Administration,No,No
hsr.gov,executive,Federal Trade Commission,No,No
hud.gov,executive,Department of Housing And Urban Development,No,No
hudoig.gov,executive,Department of Housing And Urban Development,No,Yes
huduser.gov,executive,Department of Housing And Urban Development,No,No
humanrights.gov,executive,Department of State,No,No
hydrogen.gov,executive,Department of Energy,No,No
iad.gov,executive,Department of Defense,No,Yes
iaf.gov,executive,Inter-American Foundation,No,No
iarpa-ideas.gov,executive,Director of National Intelligence,No,No
iarpa.gov,executive,Director of National Intelligence,No,No
iat.gov,executive,Department of the Interior,No,No
ibwc.gov,executive,Department of State,No,Yes
ic3.gov,executive,Department of Justice,No,Yes
icass.gov,executive,Department of State,No,No
icbemp.gov,executive,Department of Agriculture,No,No
ice.gov,executive,Department of Homeland Security,No,Yes
ich.gov,executive,US Interagency Council on Homelessness,No,No
identitytheft.gov,executive,Federal Trade Commission,No,Yes
idmanagement.gov,executive,General Services Administration,No,Yes
ignet.gov,executive,Council of Inspector General on Integrity and Efficiency,No,No
ihs.gov,executive,Department of Health And Human Services,No,No
iiog.gov,executive,Department of Agriculture,No,No
imls.gov,executive,Institute of Museum and Library Services,No,No
indianaffairs.gov,executive,Department of the Interior,No,Yes
inl.gov,executive,Department of Energy,No,No
insurekidsnow.gov,executive,Department of Health And Human Services,No,No
integrity.gov,executive,Office of Government Ethics,No,No
intelink.gov,executive,Director of National Intelligence,No,No
intelligence.gov,executive,Director of National Intelligence,No,No
intelligencecareers.gov,executive,National Security Agency,No,No
invasivespecies.gov,executive,Department of the Interior,No,No
invasivespeciesinfo.gov,executive,Department of Agriculture,No,Yes
investor.gov,executive,Securities and Exchange Commission,No,No
ioss.gov,executive,Department of Defense,No,No
ipac.gov,executive,Department of the Treasury,No,No
ipcc-wg2.gov,executive,United Stated Global Change Research Program,No,No
ipp.gov,executive,Department of the Treasury,No,No
iprcenter.gov,executive,Department of Justice,No,No
irs.gov,executive,Department of the Treasury,No,Yes
irsvideos.gov,executive,Department of the Treasury,No,No
ise.gov,executive,Director of National Intelligence,No,No
isotope.gov,executive,Department of Energy,No,No
isotopes.gov,executive,Department of Energy,No,No
itap.gov,executive,Department of Agriculture,No,Yes
itdashboard.gov,executive,Executive Office of the President,No,Yes
itds.gov,executive,Department of Commerce,No,No
itis.gov,executive,Smithsonian Institution,No,Yes
its.gov,executive,Department of the Treasury,No,No
jamesmadison.gov,executive,James Madison Memorial Fellowship Foundation,No,No
jem.gov,executive,Department of the Interior,No,No
jimmycarterlibrary.gov,executive,National Archives and Records Administration,No,Yes
jobcorps.gov,executive,Department of Labor,No,Yes
justice.gov,executive,Department of Justice,No,Yes
juvenilecouncil.gov,executive,Department of Justice,No,Yes
jwod.gov,executive,Comm for People Who Are Blind/Severly Disabled,No,No
klamathrestoration.gov,executive,Department of the Interior,No,No
knowthefactsfirst.gov,executive,Department of Health And Human Services,No,No
lacoast.gov,executive,Department of the Interior,No,No
landfire.gov,executive,Department of the Interior,No,Yes
landimaging.gov,executive,Department of the Interior,No,Yes
lanl.gov,executive,Department of Energy,No,No
latinofarmerclaims.gov,executive,Department of Agriculture,No,No
lca.gov,executive,Department of the Interior,No,No
lcacommons.gov,executive,Department of Agriculture,No,Yes
lcrmscp.gov,executive,Department of the Interior,No,No
learnperformance.gov,executive,General Services Administration,No,Yes
lep.gov,executive,Department of Justice,No,Yes
letgirlslearn.gov,executive,U.S. Agency for International Development,No,No
letsmove.gov,executive,Executive Office of the President,No,Yes
listo.gov,executive,Department of Homeland Security,No,No
llnl.gov,executive,Department of Energy,No,No
lmrcouncil.gov,executive,Office of Personnel Management,No,Yes
lmvsci.gov,executive,Department of the Interior,No,Yes
locatorplus.gov,executive,Department of Health And Human Services,No,No
longtermcare.gov,executive,Department of Health And Human Services,No,No
lowermississippivalleyscience.gov,executive,Department of the Interior,No,Yes
lps.gov,executive,National Security Agency,No,No
lsc.gov,executive,Legal Services Corporation,No,No
macpac.gov,executive,Medicaid and CHIP Payment and Access Commission,No,No
makinghomeaffordable.gov,executive,Department of the Treasury,No,Yes
manufacturing.gov,executive,Department of Commerce,No,Yes
mapaplanet.gov,executive,Department of the Interior,No,No
marine.gov,executive,Department of the Interior,No,No
marinecadastre.gov,executive,Department of Commerce,No,Yes
max.gov,executive,Executive Office of the President,No,No
mbda.gov,executive,Department of Commerce,No,No
mcc.gov,executive,Millennium Challenge Corporation,No,Yes
mcrmc.gov,executive,Department of Defense,No,No
mda.gov,executive,Department of Transportation,No,No
medalofvalor.gov,executive,Department of Justice,No,No
medicaid.gov,executive,Department of Health And Human Services,No,No
medicalcountermeasures.gov,executive,Department of Health And Human Services,No,Yes
medicalreservecorps.gov,executive,Department of Health And Human Services,No,No
medicare.gov,executive,Department of Health And Human Services,No,No
medpac.gov,executive,Medical Payment Advisory Commission,No,No
mentalhealth.gov,executive,Department of Health And Human Services,No,Yes
mgi.gov,executive,Department of Commerce,No,Yes
mitigationcommission.gov,executive,Department of the Interior,No,No
mmc.gov,executive,Marine Mammal Commission,No,No
mms.gov,executive,Department of the Interior,No,No
mojavedata.gov,executive,Department of Defense,No,Yes
moneyfactory.gov,executive,Department of the Treasury,No,Yes
moneyfactorystore.gov,executive,Department of the Treasury,No,Yes
mrlc.gov,executive,Department of the Interior,No,Yes
msha.gov,executive,Department of Labor,No,Yes
mspb.gov,executive,Merit Systems Protection Board,No,No
mtbs.gov,executive,Department of Agriculture,No,No
mycreditunion.gov,executive,National Credit Union Administration,No,No
myfdicinsurance.gov,executive,Federal Deposit Insurance Corporation,No,No
mymedicare.gov,executive,Department of Health And Human Services,No,No
mymoney.gov,executive,Department of the Treasury,No,Yes
myra.gov,executive,Department of the Treasury,No,Yes
nafri.gov,executive,Department of Agriculture,No,No
nagb.gov,executive,Department of Education,No,Yes
namus.gov,executive,Department of Justice,No,Yes
nano.gov,executive,National Nanotechnology Coordination Office,No,No
nara.gov,executive,National Archives and Records Administration,No,No
nasa.gov,executive,National Aeronautics and Space Administration,No,Yes
nationalbankhelp.gov,executive,Department of the Treasury,No,Yes
nationalgangcenter.gov,executive,Department of Justice,No,Yes
nationalhousing.gov,executive,Department of Housing And Urban Development,No,No
nationalhousinglocator.gov,executive,Department of Housing And Urban Development,No,No
nationalmap.gov,executive,Department of the Interior,No,Yes
nationalservice.gov,executive,Corporation for National & Community Service,No,No
nationsreportcard.gov,executive,Department of Education,No,Yes
nativeonestop.gov,executive,Department of the Interior,No,No
navycash.gov,executive,Department of the Treasury,No,No
nbc.gov,executive,Department of the Interior,No,No
nccrc.gov,executive,Department of Energy,No,No
ncd.gov,executive,National Council on Disability,No,No
ncirc.gov,executive,Department of Justice,No,Yes
ncix.gov,executive,Director of National Intelligence,No,No
ncjrs.gov,executive,Department of Justice,No,Yes
ncpc.gov,executive,National Capital Planning Commission,No,No
ncpw.gov,executive,Federal Trade Commission,No,Yes
ncrc.gov,executive,Department of Energy,No,No
nctc.gov,executive,Central Intelligence Agency,No,No
ncua.gov,executive,National Credit Union Administration,No,No
ndep.gov,executive,Department of the Interior,No,Yes
ndop.gov,executive,Department of the Interior,No,Yes
neglecteddiseases.gov,executive,U.S. Agency for International Development,No,Yes
neh.gov,executive,National Endowment for the Humanities,No,No
nehrp.gov,executive,Department of Commerce,No,Yes
nel.gov,executive,Department of Agriculture,No,No
nemi.gov,executive,Department of the Interior,No,No
nfpors.gov,executive,Department of the Interior,No,No
nga.gov,executive,National Gallery of Art,No,No
nhl.gov,executive,Department of Housing And Urban Development,No,No
nhtsa.gov,executive,Department of Transportation,No,Yes
nibin.gov,executive,Department of Justice,No,Yes
nicic.gov,executive,Department of Justice,No,Yes
niem.gov,executive,Department of Justice,No,Yes
nifc.gov,executive,Department of the Interior,No,No
nigc.gov,executive,National Indian Gaming Commission,No,No
nih.gov,executive,Department of Health And Human Services,No,Yes
nihseniorhealth.gov,executive,Department of Health And Human Services,No,Yes
nij.gov,executive,Department of Justice,No,Yes
nist.gov,executive,Department of Commerce,No,Yes
nitrd.gov,executive,Networking Information Technology Research and Development (NITRD),No,No
nixonlibrary.gov,executive,National Archives and Records Administration,No,Yes
nlm.gov,executive,Department of Health And Human Services,No,No
nlrb.gov,executive,National Labor Relations Board,No,Yes
nls.gov,executive,Department of Housing And Urban Development,No,No
nmb.gov,executive,National Mediation Board,No,No
nmsc.gov,executive,Department of Homeland Security,No,No
nnlm.gov,executive,Department of Health And Human Services,No,No
noaa.gov,executive,Department of Commerce,No,Yes
nolaenvironmental.gov,executive,Department of the Interior,No,No
notalone.gov,executive,Executive Office of the President,No,Yes
nps.gov,executive,Department of the Interior,No,Yes
nrc.gov,executive,Nuclear Regulatory Commission,No,Yes
nrel.gov,executive,Department of Energy,No,No
nro.gov,executive,Department of Defense,No,No
nrojr.gov,executive,Department of Defense,No,No
nsa.gov,executive,Department of Defense,No,No
nsep.gov,executive,Department of Defense,No,No
nsf.gov,executive,National Science Foundation,No,Yes
nsopw.gov,executive,Department of Justice,No,Yes
nswp.gov,executive,National Aeronautics and Space Administration,No,No
ntdprogram.gov,executive,Department of Transportation,No,Yes
ntis.gov,executive,Department of Commerce,No,No
ntsb.gov,executive,National Transportation Safety Board,No,No
nutrition.gov,executive,Department of Agriculture,No,Yes
nwbc.gov,executive,Small Business Administration,No,Yes
nwcg.gov,executive,Department of Agriculture,No,No
occ.gov,executive,Department of the Treasury,No,Yes
occhelps.gov,executive,Department of the Treasury,No,Yes
odni.gov,executive,Director of National Intelligence,No,No
oea.gov,executive,Department of Defense,No,Yes
